title,price,location,area,property_type,bedrooms,bathrooms
twinhouse fully finished for sale in jedar zayed,26500000,"Jedar, 6 October Compounds, 6 October City, Giza",300,Twin House,4,5
Hotel Apartment RTM in Alamein Towers 1.2%DP,19653000,"The Gate Towers, New Alamein City, Al Alamein, North Coast",155,Hotel Apartment,1,1
Own your Unit with the Lowest Price | The Square,7600000,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",185,Apartment,3,3
"4BR Corner Townhouse with Pool, Sahl Hasheesh",26841920,"il Bayou, Sahl Hasheesh, Hurghada, Red Sea",265,Townhouse,4,3
Apartment Super lux installs Palm Parks Palm Hills,10250000,"Palm Parks   Palm Hills, South Dahshur Link, 6 October City, Giza",130,Apartment,2,2
Twin house 375 m Fully finished RTM in Alburouj,17500000,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",375,Twin House,3,4
"Apartment for Sale Zizinia, Mostakbal City RTM",6870000,"Zizinia Al Mostakbal, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",288,Apartment,3,3
Chalet Sea View Immediate Delivery Fully furnished,6000000,"IL Monte Galala, Al Ain Al Sokhna, Suez",92,Chalet,2,1
"Chalet 100sqm, New Emaar Launch in Marassi Marina",18000000,"Marassi, Sidi Abdel Rahman, North Coast",100,Chalet,1,1
For Sale Ground Chalet In mountain view,6700000,"Mountain View, Ras Al Hekma, North Coast",92,Chalet,2,2
Lowest price studio for sale - Marassi Catania,11300000,"Marassi, Sidi Abdel Rahman, North Coast",75,Chalet,1,1
Spacious 2BR pool view in Red sea view compound,3000000,"Al Ahyaa District, Hurghada, Red Sea",123,Apartment,2,1
220m² First Floor + Penthouse + 100m² Roof View,4000000,"Zayed Dunes, 6th District, Sheikh Zayed City, Giza",220,Apartment,3,3
El_Hijaz_Hub_staduo_88M_C118,1936000,"Al Hejaz, Al Ain Al Sokhna, Suez",88,Apartment,2,1
Studio Apartment in Hurghada for Sale,1080000,"El Hadaba District, Hurghada, Red Sea",40,Apartment,studio,1
Very prime location Twin house for sale,29000000,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",312,Twin House,5,3
Apartment 180 for Sale-North-Facing-Lowest total,2000000,"Beit Al Watan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",180,Apartment,3,3
villa 581m+pool ready to move with Dp 5 million,5200000,"Novella, Waslet Dahshur Road, Sheikh Zayed City, Giza",581,Villa,4,4
Twinhouse 269m|4 bedrooms in Etapa compound,13000000,"Etapa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",269,Twin House,4,4
Chalet sea view At Lowest Price in Sokhna Over 8 Y,3140000,"Cape Bay Sokhna, Al Ain Al Sokhna, Suez",75,Chalet,2,1
Twinhouse RTM in LaVista New Capital Over 5 Years,28000000,"R4, New Capital City, Cairo",285,Twin House,4,4
Villa RTM & Showing in Granville Over 12 Years,27410000,"Granville, New Capital City, Cairo",247,Villa,4,4
Penthouse for sale at lavenir best price bahary,5500000,"L'avenir, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",220,Penthouse,3,3
"Ready vila, DownPayment 300K, Total 11M, 30K month",317273,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",150,Villa,3,3
"240 sqm duplex + 85 sqm garden, prime view, inst.",4500000,"Etapa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",240,Duplex,4,4
Studio for sale - with garden - Village West,4500000,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",75,Apartment,studio,1
For Sale - Twin House - Dara Gardens Compound,30000000,"Dara Gardens, Northern Expansions, 6 October City, Giza",400,Twin House,4,4
Fully Finished Apartment with ACs – Prime Location,2500000,"AlKarma Kay, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",111,Apartment,2,2
Al Nozha St. Apartment | 155K EGP Quarterly,2200000,"AlKarma Kay, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",160,Apartment,3,3
Most unique Penthouse  for Sale -Casa Beverly Hill,16500000,"Casa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",300,Penthouse,4,5
villa for sale - Royal Meadows - Sheikh Zayed,35000000,"Royal Meadows, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",550,Villa,4,6
Finished apartment with ACs in prime location,2200000,"AlKarma Kay, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",145,Apartment,3,3
Penthouse for sale - Garden Hills Compound,4400000,"Garden Hills, Northern Expansions, 6 October City, Giza",250,Penthouse,4,4
Villa for sale in Rabwa with swimming pool,50000000,"Al  Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",600,Villa,5,5
"3-Bedroom Apartment – Lowest Down Payment, 9-Year",3900000,"O West, 6 October Compounds, 6 October City, Giza",122,Apartment,3,2
"Villa for sale in Al Rabwa, Sheikh Zayed Compound",45000000,"Al  Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",370,Villa,4,4
"Villa for sale in Al Rabwa Compound, golf course v",37000000,"Al  Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",360,Villa,5,4
Distinctive apartment for sale - Casa Compound,15000000,"Casa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",257,Apartment,3,3
Apartment for sale - Zayed Heights Compound,7200000,"Beit Al Watan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",250,Apartment,3,3
"Villa 461m², 800K quarterly, total cash 19 Million",929141,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",150,Villa,4,4
"Lowest Price Chalet, 1st Row Sea View, 10-Yrs plan",3000000,"Diplomatic 2, Diplomatic, Qesm Borg El Arab, North Coast",130,Chalet,4,4
"Finished Apartment, Ready Move, 8 Year installment",2300000,"Hadayek Al Mohandessin, 4th District, Sheikh Zayed City, Giza",200,Apartment,3,3
"Sea View Finished Apartment with ACs, Installments",2257500,"Latin District, New Alamein City, Al Alamein, North Coast",100,Apartment,4,4
"Finished aprt +garden + ACs in Zayed, lowest price",2071500,"Six West, Beverly Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",153,Apartment,3,2
"Villa 305 m² near club, landscap View, installment",4050000,"Zayed Dunes, 6th District, Sheikh Zayed City, Giza",305,Villa,4,3
Ground Floor Apartment in Lake View Residence,10000000,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",128,Apartment,2,2
