ID,Type,Title,Price (EGP),Down Payment,Location Cluster,Full Address,Bedrooms,Bathrooms,Area (sqm),Agency Name,URL
87844249,Townhouse,TOWNHOUSE CORNER 260 M FOR SALE at Bloomfields,14300000,11000000.0,Bloomfields,"Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,5,260,Realpals Real Estate,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-mostakbal-city---future-city-mostakbal-city-compounds-bloomfields-87844249.html
88969235,Apartment,Apartment RTM At Low Price in Mostakbal Over8Years,3040000,,Zizinia Al Mostakbal,"Zizinia Al Mostakbal, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,156,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-zizinia-al-mostakbal-88969235.html
88969137,Chalet,Hacienda West Resale Ground Chalet Prime Location,6000000,,Hacienda West,"Hacienda West, Ras Al Hekma, North Coast",2,2,100,Triple S Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-hacienda-west-88969137.html
85319819,Apartment,Apartment Ready For Showing in Mostakbal Over 12 Y,2250000,,Suez Road,"Suez Road, New Cairo City, Cairo",1,1,50,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-suez-road-85319819.html
88968636,Chalet,CHALET FOR SALE FULLY FURNISHED 190 m- LAGOON VIEW,13000000,,Fouka Bay,"Fouka Bay, Qesm Marsa Matrouh, North Coast",4,4,190,Realpals Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-marsa-matrouh-fouka-bay-88968636.html
88969017,Villa,Last town 220m in old Zayed ready now easy plan 3Y,9730000,,Al  Rabwa,"Al  Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4,230,Property Hills Realty,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-al-rabwa-88969017.html
88968937,Apartment,Apartment Minutes From On Suez Road Over 8 Years,9460000,,Isola Sheraton,"Isola Sheraton, El Saaqah St., Sheraton Al Matar, El Nozha, Cairo",3,3,150,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-el-nozha-sheraton-al-matar-el-saaqah-st-isola-sheraton-88968937.html
81057280,Chalet,Chalet - Direct lagoon - 3 beds - Roof 135 m - RTM,10500000,,D-Bay,"D-Bay, Qesm Ad Dabaah, North Coast",3,2,135,Realpals Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-d-bay-81057280.html
81310029,Chalet,Ground floor 180 m - 4 beds - Direct lagoon - RTM,14500000,,Fouka Bay,"Fouka Bay, Qesm Marsa Matrouh, North Coast",4,4,180,Realpals Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-marsa-matrouh-fouka-bay-81310029.html
88968929,Villa,Last town 220m in old Zayed ready now easy plan 3Y,11730000,,Patio Al Zahraa,"Patio Al Zahraa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4,230,Property Hills Realty,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-patio-al-zahraa-88968929.html
